Comment,Emotion,processed_text
i feel he has been quite successful at achieving his vision,joy,feel quit success achiev vision
i feel so hesitant about contacting him,fear,feel hesit contact
i feel its rude to take someone s photo but rather that i feel awkward asking to take the photo,anger,feel rude take someon photo rather feel awkward ask take photo
i am grateful to have a strong support system both internally and externally that i can rely on when i am feeling uncertain and weak,fear,grate strong support system intern extern reli feel uncertain weak
i tend to be a little more relaxed with our days im forced to be a bit more flexible with toddlers but a lot of days im left feeling frustrated that i didnt get more done,anger,tend littl relax day im forc bit flexibl toddler lot day im left feel frustrat didnt get done
i feel offended that youre offended way but in the oh crap there i go offending people again way,anger,feel offend your offend way oh crap go offend peopl way
i stopped feeling as clever as i had felt having no memory of her having done so,joy,stop feel clever felt memori done
i feel like i want to punch him in his handsome face,joy,feel like want punch handsom face
i do feel like less of a person when i constantly hear family members use hateful language every time anything even remotely related to homosexuality comes up,anger,feel like le person constantli hear famili member use hate languag everi time anyth even remot relat homosexu come
i feel so paranoid i don t want to feel like i did back then ever again,fear,feel paranoid want feel like back ever
i feel like karen is being far too greedy pushy demanding on all fronts,anger,feel like karen far greedi pushi demand front
i hope you don t run around irrationally killing people when you feel threatened like animals do,fear,hope run around irrat kill peopl feel threaten like anim
i feel like a tortured artist when i talk to her,anger,feel like tortur artist talk
i feel to have the honor to be this precious little girls mother,joy,feel honor preciou littl girl mother
i read the sentinel article on hanford city councilman dan chins proposed media policy and the secret committee meetings my feelings could be summed up in a single word alarmed,fear,read sentinel articl hanford citi councilman dan chin propos medium polici secret committe meet feel could sum singl word alarm
i usually use smaller legos however this year i have a few students with fine motor delays and i want all my students to feel successful,joy,usual use smaller lego howev year student fine motor delay want student feel success
i won a car in a prizecompetition the moment i was informed about it,joy,car prizecompetit moment inform
i want to feel your sweet embrace but dont take that paper bag off your face i love your smile face and eyes damn im good at telling lies,joy,want feel sweet embrac dont take paper bag face love smile face eye damn im good tell lie
i feel a little skeptical but what have i got to lose,fear,feel littl skeptic got lose
i feel about him i never really told him too much guess i was scared but i havent got anything to loose now,fear,feel never realli told much guess scare havent got anyth loos
i feel intimidated by other girls acne getting rid of pimples,fear,feel intimid girl acn get rid pimpl
i guess i feel insecure and anxious,fear,guess feel insecur anxiou
i remember being so disappointed with not showing for about months and now i actually feel like my less than lady like movements are more acceptable,joy,rememb disappoint show month actual feel like le ladi like movement accept
i spend obsessing over my decisions and feeling anxious,fear,spend obsess decis feel anxiou
i feel like i was lucky like a four leaf clover,joy,feel like lucki like four leaf clover
i really do what i feel like doing about of the time they get mad,anger,realli feel like time get mad
i know what it feels like to face irate customers,anger,know feel like face irat custom
i can only guess that the boys are feeling shy when i m sick but honestly i could use some help now,fear,guess boy feel shi sick honestli could use help
i know that i still feel kind of agitated but i also switch from feeling hot to feeling cold when i lay down,anger,know still feel kind agit also switch feel hot feel cold lay
i burst out feeling shaken because i was pretty sure i d just hit a bird,fear,burst feel shaken pretti sure hit bird
i have a heart to serve to better their situation but in that moment i feel so helpless,fear,heart serv better situat moment feel helpless
i must find a way to accept these limitations until they are older without feeling held back or resentful,anger,must find way accept limit older without feel held back resent
i was to worried about them knowing if i was high or not and feeling a little paranoid and i have never never been that type of person that would think and care about what people think about me and would always focus on what i had to do to get to where i needed to get in life,fear,worri know high feel littl paranoid never never type person would think care peopl think would alway focu get need get life
i want to be able to leave my house on my own without feeling terrified and im going to work on this every day,fear,want abl leav hous without feel terrifi im go work everi day
im feeling shy to approach them,fear,im feel shi approach
i feel i m getting distracted and not real,anger,feel get distract real
i am very fascinated by it and don t feel so uptight by the many challenges life has because of it,fear,fascin feel uptight mani challeng life
i write this i still have that vaguely spacy feeling and im not sure ill be an effective human being,joy,write still vagu spaci feel im sure ill effect human
i feel the show was a success for me and i am glad that i did it and i have decided that i will do pg live in may too so better get planning,joy,feel show success glad decid pg live may better get plan
i feel absolutely assured in informing you that you need to get your hands on this set,joy,feel absolut assur inform need get hand set
i not feel the tension that permeates the air in the calm before the storm,joy,feel tension permeat air calm storm
i an asylum seeker who i don t know how they live in this country without feeling assaulted,fear,asylum seeker know live countri without feel assault
i am feeling uncertain and insecure and fearful,fear,feel uncertain insecur fear
in a dam lake,fear,dam lake
i dont know why but lately i feel so dissatisfied,anger,dont know late feel dissatisfi
i am extremely blessed and have a wonderful life but i am often guilty of feeling envious and upset when someone has more blessings special recognition or appears to have it better than i do,anger,extrem bless wonder life often guilti feel enviou upset someon bless special recognit appear better
im feeling selfish right now because i want that time back,anger,im feel selfish right want time back
i feel so honored that students come to my classes,joy,feel honor student come class
i feel like i meet the most subtly obnoxious annoying people in the universe,anger,feel like meet subtli obnoxi annoy peopl univers
i range has always been giving you feel reluctant to select your spray for anyone who are to select and exposed variants,fear,rang alway give feel reluct select spray anyon select expos variant
i feel like im being petty about this,anger,feel like im petti
i sit here feeling annoyed at my sons my pets and my husband im also trying to think of something to feel grateful for this saturday,anger,sit feel annoy son pet husband im also tri think someth feel grate saturday
i love the smell it makes me feel invigorated and fresh and happy,joy,love smell make feel invigor fresh happi
i feel distressed music on my mind rewrite fma op,fear,feel distress music mind rewrit fma op
ive had a lot of good days where i feel fabulous and have lots of energy but lately ive also had some bad days where i feel gigantic and slow and clumsy,joy,ive lot good day feel fabul lot energi late ive also bad day feel gigant slow clumsi
i feel nervous when i think about going to australia though i feel exited at the same time,fear,feel nervou think go australia though feel exit time
i was feeling fabulous until friday morning when i started to get these awful cramps at work,joy,feel fabul friday morn start get aw cramp work
i feel respected and such,joy,feel respect
im just saying that if i did they would make me feel successful,joy,im say would make feel success
im probably the least talkative person in the group i always feel glad for going even when its intense uncomfortable or when i feel vulnerable,joy,im probabl least talk person group alway feel glad go even intens uncomfort feel vulner
i felt sad and apprehensive and angry that i d had vertigo and that it had left me feeling uncertain,fear,felt sad apprehens angri vertigo left feel uncertain
i finally realized that all i needed was to be and feel useful and blogging allowed me to do that,joy,final realiz need feel use blog allow
i feel agitated right on through,fear,feel agit right
i feel vicious and sleepy,anger,feel viciou sleepi
i can feel him kick and move and know that it will be ok,joy,feel kick move know ok
i feel scared that i own it,fear,feel scare
i feel honored that you accept my invitation,joy,feel honor accept invit
i was going to be loved made me feel a woman like me could be valuable that i stood a chance there was more out there and told me that i could get over him it was a lazy bandaid where i didn t have to better my character i could just hope,joy,go love made feel woman like could valuabl stood chanc told could get lazi bandaid better charact could hope
when i saw all the starving people in ethiopia on tv it felt awful to see such suffering,anger,saw starv peopl ethiopia tv felt aw see suffer
i am feeling extremely annoyed and restless,anger,feel extrem annoy restless
i was feeling abnormally wimpy so i staked out my bird feeder,fear,feel abnorm wimpi stake bird feeder
i want to stop taking it one day but also feel terrified that lots of feelings of anxiety panic will come flooding back,fear,want stop take one day also feel terrifi lot feel anxieti panic come flood back
at one of my close friends saying she didnt like the way i am nice to people i dont know,anger,one close friend say didnt like way nice peopl dont know
i feel agitated annoyed and i see feel the darkness everywhere,fear,feel agit annoy see feel dark everywher
i will actually feel comfortable speaking to others in just japanese i feel pretty happy about my current progress,joy,actual feel comfort speak other japanes feel pretti happi current progress
im feeling a little smug too im usually running late for whatever im planning to d,joy,im feel littl smug im usual run late whatev im plan
i did not feel its strange effects no more,fear,feel strang effect
im not trying to disagree with same sex intercourse or what to me it just feels weird gt,fear,im tri disagre sex intercours feel weird gt
i start feeling overwhelmed and i just want to run away and hide in the back of my closet,fear,start feel overwhelm want run away hide back closet
i feel that im much more productive i get less distracted and i feel so much more accomplished,joy,feel im much product get le distract feel much accomplish
i done something that i didn t feel inspired or challenged by,joy,done someth feel inspir challeng
i am hoping the running thing works out like the numerous success stories i have accumulated but so far i am not feeling hopeful today,joy,hope run thing work like numer success stori accumul far feel hope today
i feel a strange disconnect,fear,feel strang disconnect
i need to feel like my time is valuable,joy,need feel like time valuabl
i have carried around an audre lorde quote that i often refer to when i am feeling fearful or uncertain about things when i dare to be powerful to use my strength in the service of my vision then it becomes less and less important whether i am afraid,fear,carri around audr lord quot often refer feel fear uncertain thing dare power use strength servic vision becom le le import whether afraid
ill just have to make some local friends i can go to the movies with and know for a fact they wont even without meaning to cause i seriously doubt there was any actual intention to hurt my feelings or actually call me heartless a moral or brainless it just came across that way to me,anger,ill make local friend go movi know fact wont even without mean caus serious doubt actual intent hurt feel actual call heartless moral brainless came across way
i get headaches am easily agitated feel frightened and aggressive,fear,get headach easili agit feel frighten aggress
i might have a potential job on the line so i m feeling generous,joy,might potenti job line feel gener
i dont think i would have touched this book if i hadnt received it for free but once i got past my judgments about the author white people problems entitled rich whining and self delusions i feel like i got something valuable out of this book,joy,dont think would touch book hadnt receiv free got past judgment author white peopl problem entitl rich whine self delus feel like got someth valuabl book
i am feeling grumpy and irritated,anger,feel grumpi irrit
i feel like ive given up on relationships forever because im hardly ever successful in maintaining friendships and theres that pressure of settling down at your age,joy,feel like ive given relationship forev im hardli ever success maintain friendship there pressur settl age
i don t want to feel frustrated about this anymore,anger,want feel frustrat anymor
i still feel shaky is because in the worst hit areas the damage and destruction is so complete,fear,still feel shaki worst hit area damag destruct complet
i was feeling a little annoyed at some people,anger,feel littl annoy peopl
i feel very agitated and sort of lost,anger,feel agit sort lost
i really can carry a grudge for a long time against those i feel have wronged or hurt me in someway whether they are aware of it or not,anger,realli carri grudg long time feel wrong hurt someway whether awar
i feel bothered at the fact that some of us have been given so many chances but i don t see the least bit of appreciation and utter gratefulness downright from their souls,anger,feel bother fact u given mani chanc see least bit appreci utter grate downright soul
i can pay the bills and still have some cash in the bank should leave me feeling pretty satisfied right,joy,pay bill still cash bank leav feel pretti satisfi right
i had been feeling scared about being an ra because there is a lot of work that goes into that job,fear,feel scare ra lot work go job
i feel like i have been rather unkind to it,anger,feel like rather unkind
i have constantly been panicky and making a big fuss over my learning and exam results often feeling spiteful that i have lost out a mark or two to the top in class,anger,constantli panicki make big fuss learn exam result often feel spite lost mark two top class
i am working on one thing that i feel unsure of completing,fear,work one thing feel unsur complet
i don t feel stressed,anger,feel stress
ill go because it warms my muscles and i always laugh in the midst of our quirky little inter generational exercise family and after six months im a regular which reminds me that ive accomplished the epic feat of no longer feeling in some way intimidated when i go to the gym,fear,ill go warm muscl alway laugh midst quirki littl inter gener exercis famili six month im regular remind ive accomplish epic feat longer feel way intimid go gym
i sit feeling generally satisfied and i lean on the bench and take a cigarette georges lit for me and he asks how do ya feel man,joy,sit feel gener satisfi lean bench take cigarett georg lit ask ya feel man
i guess i sort of believe him but deep down i just feel unsure about the unknown,fear,guess sort believ deep feel unsur unknown
i have already said i am one of many feeling threatened and attacked by the government and media of today and have had to look outside my own small life,fear,alreadi said one mani feel threaten attack govern medium today look outsid small life
im a bit paranoid about being checked out and having the dorm inspected though just because thats how i always am about these sorts of things and thats making me feel anxious every time i start thinking about cleaning or packing,fear,im bit paranoid check dorm inspect though that alway sort thing that make feel anxiou everi time start think clean pack
i would feel differently if i believed that the leaders were perfectly truthful,joy,would feel differ believ leader perfectli truth
i have been feeling so strange and frankly bad about how not sad i am,fear,feel strang frankli bad sad
i know i shouldn t feel offended but i do,anger,know feel offend
i feel irritated and helpless,anger,feel irrit helpless
i feel really lucky to have found you as a resource and have always felt the answers i needed were there for the asking,joy,feel realli lucki found resourc alway felt answer need ask
i remember feeling nervous that i wasnt progressing so i was so thrilled,fear,rememb feel nervou wasnt progress thrill
i really feel like i m wading in dangerous waters here but i think dialog is really important too,anger,realli feel like wade danger water think dialog realli import
i was wondering why i was feeling so ecstatic,joy,wonder feel ecstat
i did however feel amused that she also called famous last words cathartic i think she s one of those people who secretly likes mychem but can t admit it for fear of damaging her music cred,joy,howev feel amus also call famou last word cathart think one peopl secretli like mychem admit fear damag music cred
im feeling generous ahahahaha im so morbidly funny,joy,im feel gener ahahahaha im morbidli funni
i feel very lucky to live in a warm home with the three people i love most,joy,feel lucki live warm home three peopl love
i have that overwhelming feeling of not being good enough recently,joy,overwhelm feel good enough recent
i feel glad and proud myself i could answer some complicated questions that i can t ever been done before,joy,feel glad proud could answer complic question ever done
i would have taken more but something feels weird about going to a foreign country and taking pictures of places and things that most of the people probably consider commonplace,fear,would taken someth feel weird go foreign countri take pictur place thing peopl probabl consid commonplac
i can t believe i feel so petrified,fear,believ feel petrifi
i refuse to let myself feel bitter about the small sacrifices we have to make,anger,refus let feel bitter small sacrific make
i had a dream in which i was infuriated with my husband and so i woke up feeling infuriated with him but unfortunately a i couldnt remember the substance of the dream so i couldnt adequately express myself and b it was just a stupid dream,anger,dream infuri husband woke feel infuri unfortun couldnt rememb substanc dream couldnt adequ express b stupid dream
i would have liked to go but that i wouldnt leave without reason because that would feel highly uncomfortable,fear,would like go wouldnt leav without reason would feel highli uncomfort
i was feeling optimistic and actually ran the first couple miles at probably a pace,joy,feel optimist actual ran first coupl mile probabl pace
i can tell you that i feel oddly vulnerable and disjointed and like i just dont want to come out and play a lot of the time,fear,tell feel oddli vulner disjoint like dont want come play lot time
i feel more vulnerable,fear,feel vulner
i know im quite selfish but sometimes i feel like i dont want to throw everything just for something that is uncertain,fear,know im quit selfish sometim feel like dont want throw everyth someth uncertain
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,fear,wonder sometim whether ad antagon misunderstand mani peopl toward u feel reluct wholeheartedli support tradit armistic day remembr
i feel a litte shaken up by this point,fear,feel litt shaken point
i wasnt feeling casual much,joy,wasnt feel casual much
im currently trying to implement these changes into my life and i already feel more valuable to myself and my business to my family and to myself,joy,im current tri implement chang life alreadi feel valuabl busi famili
i found a good article where you are not to mediate if you feel threatened or intimidated by your ex controlled or you life is controlled by your ex where your child is being manipulated by your ex,fear,found good articl mediat feel threaten intimid ex control life control ex child manipul ex
i feel the love and i thank you for it pagetitle popular news abc news u,joy,feel love thank pagetitl popular news abc news u
im sure something will come to me on a day when im feeling a little more artistic,joy,im sure someth come day im feel littl artist
ive had little movie star tears come down but the way i feel is not relieved by that,joy,ive littl movi star tear come way feel reliev
i cant blog if im feeling inspired and once i do blog i lose inspiration,joy,cant blog im feel inspir blog lose inspir
i wanted to feel assured,joy,want feel assur
i can feel the awkwardness and that weird kind of tension,fear,feel awkward weird kind tension
i feel equally wronged,anger,feel equal wrong
i feel the skeptical looks and eye rolls when we say we need a bigger house after all we re dinks double income no kids which is prettymuch the most awesome acronym ever,fear,feel skeptic look eye roll say need bigger hous dink doubl incom kid prettymuch awesom acronym ever
i love the long summer evenings where you can shoot into o clock and not feel as pressured as the short daylight hours winter provides,fear,love long summer even shoot clock feel pressur short daylight hour winter provid
i feel scared because i dont know the students and the teachers,fear,feel scare dont know student teacher
i feel like no matter what my house will never be acceptable to them,joy,feel like matter hous never accept
i cant seem to command it a feeling im sure anyone can relate to,joy,cant seem command feel im sure anyon relat
i just love the colors and the way the yarns feel i also love supporting small businesses and it allows me to provide quality products in my own shop,joy,love color way yarn feel also love support small busi allow provid qualiti product shop
i am sure feeling nervous about potential air raids from the luftwaffe,fear,sure feel nervou potenti air raid luftwaff
i feel cold few days,anger,feel cold day
im feeling my way through and trusting myself,joy,im feel way trust
i cant shake the im hiding how i feel about myself beneath a fab jacket vibe and this style doesnt mesh well with most of the clothes i wear,joy,cant shake im hide feel beneath fab jacket vibe style doesnt mesh well cloth wear
i mean every time i have a negative thought or feeling or reaction i am going to consciously replace it with a positive one,joy,mean everi time neg thought feel reaction go conscious replac posit one
i believe that if i by myself make a person feel uptight and want to be envous of me then they have another sin called jealousy,fear,believ make person feel uptight want envou anoth sin call jealousi
ive been feelin cranky about my blog im feeling its still a bit childish for me already i dont know if its the blog itself the address or something else,anger,ive feelin cranki blog im feel still bit childish alreadi dont know blog address someth els
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,joy,feel ive got foot door fantast world walk run trail fell mountain
ive been feeling kind of distracted and that is obviously not conducive for working philosophy problems out,anger,ive feel kind distract obvious conduc work philosophi problem
i feel shy of my broken english,fear,feel shi broken english
i feel like a child who got one lick of the most delicious lollypop ever,joy,feel like child got one lick delici lollypop ever
i used to always feel jealous about most things they received from compliments to some valuable stuffs,anger,use alway feel jealou thing receiv compliment valuabl stuff
i was feeling pretty confused about my future career goals however after seeing how creatively stimulating and fulfilling teaching can be i now feel more confident in pursuing a career in education,fear,feel pretti confus futur career goal howev see creativ stimul fulfil teach feel confid pursu career educ
i feel so absolutely stumped on the floor when you dance you re charming and you re gentle specially when you do the continental but this feeling isn t purely mental for heaven rest us i am not asbestos and that s why i won t dance why should i,joy,feel absolut stump floor danc charm gentl special continent feel pure mental heaven rest u asbesto danc
i doubt theres any greater reluctance by federal authorities to employ tear gas and plain force if they feel threatened,fear,doubt there greater reluct feder author employ tear ga plain forc feel threaten
i needed but i m feeling greedy,anger,need feel greedi
i quite dig the subdued tone and plot direction i feel a reluctant emotional bond with the show,fear,quit dig subdu tone plot direct feel reluct emot bond show
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger,feel selfish read back former post never ask prayer other never consid may other deserv prayer answer
i went on to the holiday party that evening courtesy of another journalism sibling whom i call my big bro feeling a little unsure on why i was really attending,fear,went holiday parti even courtesi anoth journal sibl call big bro feel littl unsur realli attend
i plot that makes the reader feel like he is with owen morgan during his dangerous undertaking,anger,plot make reader feel like owen morgan danger undertak
i feel so frightened i wanna run to you i wanna call but i ve been hit by lightning just can t stand up for falling apart can t see through this veil across my heart over you you ll always be the one you were the first you ll be the last,fear,feel frighten wan na run wan na call hit lightn stand fall apart see veil across heart alway one first last
i feel the less successful pieces were my two front covers as the images i used here were taken from movie stills,joy,feel le success piec two front cover imag use taken movi still
i think i want to go to an aa meeting just to hear the stories but it feels rude,anger,think want go aa meet hear stori feel rude
i feel offended used and disgusted,anger,feel offend use disgust
i have writer s block or feel too apprehensive about writing the next scene i copy and paste the part i m at into a new document so i can write freely without feeling that it s set in stone in my saved manuscript,fear,writer block feel apprehens write next scene copi past part new document write freeli without feel set stone save manuscript
i should feel pissed,anger,feel piss
i began to kiss her again she slowly started lifting her head and feel suspicious,fear,began kiss slowli start lift head feel suspici
i dunno being around him makes me feel like a startled rabbit,fear,dunno around make feel like startl rabbit
i dont call what i am feeling as nervous but more anxious,fear,dont call feel nervou anxiou
i feel a strange sense of foreboding,fear,feel strang sens forebod
i am feeling a bit strange never felt that ever but should i really stop writing blogs now,fear,feel bit strang never felt ever realli stop write blog
i feel that noleans probably lacks a lot of the diy art and music stuff that id go sorta neurotic wihtout,fear,feel nolean probabl lack lot diy art music stuff id go sorta neurot wihtout
i sat feeling helpless like a moment from an episode of the walking dead,fear,sat feel helpless like moment episod walk dead
i feel stressed i tend to scrapbook and make cards,anger,feel stress tend scrapbook make card
i am feeling excited and also nervous worrying about all the little details and hoping that our first day goes well,joy,feel excit also nervou worri littl detail hope first day go well
i feel ever so ever so ever so jolly,joy,feel ever ever ever jolli
i already feel it is for the bursts and hesitations of last year to mellow into engaged and rhythmic hops forward like his,joy,alreadi feel burst hesit last year mellow engag rhythmic hop forward like
i feel angry at him for being so selfish and giving me absolutely nothing to go on,anger,feel angri selfish give absolut noth go
no response,anger,respons
when i heard about the treatment of a friend in jail really inhuman i never realised that such things also happen in the netherlands,anger,heard treatment friend jail realli inhuman never realis thing also happen netherland
i could not help feeling thatrupert meant to be rude to my father though his words were quite polite,anger,could help feel thatrupert meant rude father though word quit polit
i feel hesitant to tell them the truth about leaving the house to get the toy,fear,feel hesit tell truth leav hous get toy
i think of who i have left to teach me about myself and i feel a little frightened at the thought that my family changes and moves away from some of the very things i need to know about in order to feel complete,fear,think left teach feel littl frighten thought famili chang move away thing need know order feel complet
i feel unsure or neutral about changing but really does not want to change,fear,feel unsur neutral chang realli want chang
im not completely sure my topic is narrow enough and im feeling apprehensive about being able to find half of my sources in print,fear,im complet sure topic narrow enough im feel apprehens abl find half sourc print
i came across the exchange point feeling strong,joy,came across exchang point feel strong
i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible,anger,feel selfish talk anyon els thyroid want think dramat whini realli hard understand ye someon look fine still feel terribl
i love feeling like i am truly making a difference in students lives although sometimes i am unsure,fear,love feel like truli make differ student life although sometim unsur
i hate talking about presents because i feel greedy,anger,hate talk present feel greedi
i should be able to head shot someone at the other end of a football field because i feel threatened by them,fear,abl head shot someon end footbal field feel threaten
i looked at sams eyes they were tough hiding the strong pent up feelings that tortured him inside,fear,look sam eye tough hide strong pent feel tortur insid
i made this i felt some relief from the fear and anxiety but i started feeling pissed again with a whole new set of memories,anger,made felt relief fear anxieti start feel piss whole new set memori
i feel grouchy now the football fans have woken me up from the customary sunday siesta,anger,feel grouchi footbal fan woken customari sunday siesta
id be feeling paranoid about going bald,fear,id feel paranoid go bald
i left the property feeling insulted and found myself minutes later on main street an unsuspecting victim of some unknown enemy s next attack,anger,left properti feel insult found minut later main street unsuspect victim unknown enemi next attack
i feel absolutely safe a,joy,feel absolut safe
i really have gotten to a place where if i go for more than a day or two without writing i begin to feel very anxious very displaced,fear,realli gotten place go day two without write begin feel anxiou displac
i feel like im making all the effort and i cant be bothered with it anymore,anger,feel like im make effort cant bother anymor
i feel as if i have had enough sleep and have much more vital energy than i have ever had before taking it,joy,feel enough sleep much vital energi ever take
i feel too bitchy to do something like that to my family because theyre going through the same shit i am,anger,feel bitchi someth like famili theyr go shit
i feel impatient with the christian church disciples of christ and its many manifestations over the fact that i haven t yet gotten even the slightest whiff of a call,anger,feel impati christian church discipl christ mani manifest fact yet gotten even slightest whiff call
i help a lot of people at a later time when i m feeling pissed off with things i might look back at my life and say hey i m not that bad a person,anger,help lot peopl later time feel piss thing might look back life say hey bad person
i do these days that makes me feel a little uncertain about the future the pressures that pierce me deep the feeling of being completely isolated from the world i used to glory in and all the thrills that go with it,fear,day make feel littl uncertain futur pressur pierc deep feel complet isol world use glori thrill go
i never kissed a guy because every time i d try i d freak out and feel disgusted,anger,never kiss guy everi time tri freak feel disgust
i want to enter in defiance but coming from a different culture i feel offended that i am not allowed,anger,want enter defianc come differ cultur feel offend allow
i feel frustrated for her when i read those chapters,anger,feel frustrat read chapter
i put my knitting down and covered my ears with my hands trying to minimize the feeling of being assaulted,fear,put knit cover ear hand tri minim feel assault
i feel incredibly sarcastic right now,anger,feel incred sarcast right
im not feeling terribly adventurous plus i have family visiting so i cant completely neglect them meaning its going to be business as usual for me,joy,im feel terribl adventur plu famili visit cant complet neglect mean go busi usual
i have a feeling she will sleep through the night more and be a little less agitated,fear,feel sleep night littl le agit
im feeling overwhelmed by college with everything else that had happened this semester,fear,im feel overwhelm colleg everyth els happen semest
i packed this time around feeling apprehensive about this challenging season and happy to decompress for a few days at my dads before coming home,fear,pack time around feel apprehens challeng season happi decompress day dad come home
i have times when i feel insecure,fear,time feel insecur
i must say i did feel something very special being there,joy,must say feel someth special
i was feeling pretty well in mid october,joy,feel pretti well mid octob
i am now feeling delighted to have a bigger definition of magic,joy,feel delight bigger definit magic
i already feel myself becoming more casual in my fandom,joy,alreadi feel becom casual fandom
im feeling really shaken up today my stomach hurts ibleeditout i ran into some friends and kodi has been a complete brat,fear,im feel realli shaken today stomach hurt ibleeditout ran friend kodi complet brat
i have i feel excited nervous and a little bit sad,joy,feel excit nervou littl bit sad
i don t want people to feel offended by that request it could be viewed as too forward,anger,want peopl feel offend request could view forward
i can remember a year ago yesterday feeling so unsure so scared of what our future held,fear,rememb year ago yesterday feel unsur scare futur held
im just not feeling it at all id much rather stay in singapore and spend time with my friends i hate everyone and sara is being really bitchy right now div style clearboth padding bottom,anger,im feel id much rather stay singapor spend time friend hate everyon sara realli bitchi right div style clearboth pad bottom
i was left feeling a little shaken,fear,left feel littl shaken
i hate the expectation that i must need a man in my life to feel worthwhile or valued,joy,hate expect must need man life feel worthwhil valu
i be the go to guy for someone who wants a genuine guy who would treat them right and spend quality time with them and make them feel special,joy,go guy someon want genuin guy would treat right spend qualiti time make feel special
i dont know why i feel so unsure aout things and especially people,fear,dont know feel unsur aout thing especi peopl
im by no means huge however as im only i find that any extra weight at all makes me feel very uncomfortable in myself as well as my clothes,fear,im mean huge howev im find extra weight make feel uncomfort well cloth
watching a violent movie,anger,watch violent movi
ive been feeling really pumped about running again this is very strange,fear,ive feel realli pump run strang
i can feel she still angry with me,anger,feel still angri
i think people reject their feelings because they re terrified of them but the truth is that once you see that you can t die from them and that they actually go away they re not so scary,fear,think peopl reject feel terrifi truth see die actual go away scari
i got s and really i feel like i hit the lottery i was scared itd be something like x and id be screwed,fear,got realli feel like hit lotteri scare itd someth like x id screw
i feel honored that my art is going to fill a room where sick children need all the joy they can get,joy,feel honor art go fill room sick child need joy get
i love the porn industry and i feel satisfied and fulfilled working in it i have to say that it doesn t really bring in the big bucks,joy,love porn industri feel satisfi fulfil work say realli bring big buck
i am feeling really carefree and today was really carefree,joy,feel realli carefre today realli carefre
im going to be after the birth of this baby feels shaky,fear,im go birth babi feel shaki
i hate feeling bitter,anger,hate feel bitter
i show my partner how i feel i m afraid s he will not feel the same about me,fear,show partner feel afraid feel
i will admit that i do feel a little envious when i hear of young writers who do so well,anger,admit feel littl enviou hear young writer well
i feel so scared for him,fear,feel scare
i get the feeling the oilers are hesitant to count on him again after he missed so much time a year ago,fear,get feel oiler hesit count miss much time year ago
i just feel cold said rachel,anger,feel cold said rachel
i stop being so reactive every little time i feel wronged or sense wrong in the universe,anger,stop reactiv everi littl time feel wrong sens wrong univers
i feel helpless as her mother i should be able to take the pain away as a small child i could do this but she is a young adult now the same age i was when i had her and it hurts to see her in pain,fear,feel helpless mother abl take pain away small child could young adult age hurt see pain
i am just kind of left feeling insecure and uneasy in my own skin,fear,kind left feel insecur uneasi skin
i do feel envious of those with kids at certain moments,anger,feel enviou kid certain moment
id be feeling shaky too if id spent a week contemplating how id just pissed away my lifes work,fear,id feel shaki id spent week contempl id piss away life work
i always feel rushed on the way to visit no comments,anger,alway feel rush way visit comment
i want to be someone that people can approach and feel accepted by and not judged because i do feel that people feel judged by me,joy,want someon peopl approach feel accept judg feel peopl feel judg
i feel that there is a clever caption in the making here but im not quite feeling well enough to provide one myself,joy,feel clever caption make im quit feel well enough provid one
i wasn t feeling insulted over its idiocy i felt supremely bored and actually wound up fastforwarding through a few scenes,anger,feel insult idioci felt suprem bore actual wound fastforward scene
i opened the first window whilst listening to a certain mariah carey christmas classic on the radio so im feeling pretty festive this morning,joy,open first window whilst listen certain mariah carey christma classic radio im feel pretti festiv morn
i am going to be a little selective about who i let read just for privacys sake but if you can relate to me why you want to read and if i feel your motivations are safe and okay then i will send you an invite,joy,go littl select let read privaci sake relat want read feel motiv safe okay send invit
i know that when i am feeling distraught or moody i can depend on you two to put a smile back on my face,fear,know feel distraught moodi depend two put smile back face
i dont know i feel all mellow and normal and good,joy,dont know feel mellow normal good
i have to leave my hair alone now if im feeling impatient,anger,leav hair alon im feel impati
i am wishful of gaining a feeling of responsibility from the planning of this event as well as commitment,joy,wish gain feel respons plan event well commit
i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth,fear,feel dont afraid naega deo apaya hae pray dasi neol chajeul su itg sigani heureulsurok gaseumi apawa need go back time dan hanbeon manirado forgiv sin wo doedollil suman itdamyeon gotong ttawin naegen sloth
i feel like hed think that was pretty cool because i certainly do,joy,feel like hed think pretti cool certainli
im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come,joy,im feel littl bit posit thing quit hard first save eaten quickli cost didnt want becom burden boyfriend weve come end im feel brighter inspir thing come
